SecurityID,Symbol,CompanyName
24742,CEIGALL,Ceigall India
2481,ONWARDTEC,Onward Technologies
24814,FIRSTCRY,Firstcry (Brainbees Solutions)
24823,MANCREDIT,Mangal Credit & Fincorp
25049,PREMIERENE,Premier Energies
25162,EUREKAFORB,Eureka Forbes
25178,TDPOWERSYS,TD Power Systems
25392,PANAMAPET,Panama Petrochem
25426,NORTHARC,Northern Arc Capital
25574,SHAKTIPUMP,Shakti Pumps
25584,TRITURBINE,Triveni Turbines
25608,INDOTHAI,Indo Thai Securities
25844,HYUNDAI,Hyundai Motor India
25897,MINDACORP,Minda Corporation
25907,WAAREEENER,Waaree Energies
25977,AFCONS,Afcons Infrastructure
25984,AVL,Aditya Vision
2687,POLYPLEX,Polyplex Corporation
2705,PRAJIND,Praj Industries
27061,ACMESOLAR,ACME Solar Holdings
27066,SWIGGY,Swiggy
2717,PRECWIRE,Precision Wires India
27213,EIEL,Enviro Infra Engineers
277,GICRE,GIC of India
2816,RALLIS,Rallis
2859,RAYMOND,Raymond
28714,TRANSRAILL,Transrail Lighting
28764,CEWATER,Concord Enviro Systems
28888,SENORES,Senores Pharmaceuticals
29075,SETL,Standard Engineering Technology
29087,QUADFUTURE,Quadrant Future Tek
29256,DENTA,Denta Water and Infra Solutions
29459,MOSCHIP,Moschip Technologies
29472,PROTEAN,Protean e-Gov Technologies
29678,BAJAJINDEF,Indef Manufacturing
3024,JINDALSAW,Jindal SAW
3048,SCI,Shipping Corporation of India
30893,CMRGREEN,CMR Green Technologies
31234,SCHNEIDER,Schneider Electric Infra
3149,BORORENEW,Borosil Renewables
3150,SIEMENS,Siemens
3275,TEMBO,Tembo Global Industries
3324,SUBROS,Subros
3345,SUNDRMFAST,Sundram Fasteners
3363,SUPREMEIND,Supreme Industries
3375,SURYAROSNI,Surya Roshni
3426,TATAPOWER,Tata Power
3435,BBOX,Black Box
3563,ADANIGREEN,Adani Green Energy
357,NAM-INDIA,Nippon Life India AMC
3724,VSTIND,VST Industries
3736,WALCHANNAG,Walchandnagar Industries
383,BEL,Bharat Electronics
3880,SOMANYCERA,Somany Ceramics
3987,GREENPLY,Greenply Industries
404,BERGEPAINT,Berger Paints
4055,PANACEABIO,Panacea Biotec
438,BHEL,Bharat Heavy Electricals
4421,CREDITACC,Credit Access Grameen
4587,RAMCOIND,Ramco Industries
4598,HERITGFOOD,Heritage Foods
4656,SBCL,Shivalik Bimetal Controls
4732,SKMEGGPROD,SKM Egg Products Export
4749,CONCOR,Container Corporation of India
48,HAPPSTMNDS,Happiest Minds Technologies
4870,INDSWFTLAB,Ind Swift Laboratories
4898,FDC,FDC
4907,ENGINERSIN,Engineers India
509,MAZDOCK,Mazagon Dock Shipbuilders
5097,ETERNAL,Eternal
5108,KPIGREEN,KPI Green Energy
5204,GMDCLTD,Gujarat Mineral Development Corporation
5264,PDSL,PDS
5407,CARTRADE,CarTrade Tech
5435,APTUS,Aptus Value Housing Finance
5475,GRSE,Garden Reach Shipbuilders
5701,CUB,City Union Bank
5751,SANSERA,Sansera Engineering
5911,PARAS,Paras Defence Space Tech
592,GRAPHITE,Graphite
6018,ABSLAMC,Aditya Birla Sun Life AMC
6545,NYKAA,Nykaa
6733,JINDALSTEL,Jindal Steel
6803,STEELCAS,Steelcast
6818,LATENTVIEW,Latent View Analytics
6848,GREENLAM,Greenlam Industries
6964,GOCOLORS,Go Colors
6994,BSOFT,Birlasoft
7083,STARHEALTH,Star Health Insurance
7358,DATAPATTNS,Data Patterns
7390,SUPRIYA,Supriya Lifescience
7508,ZENTEC,Zen Technologies
756038,WAAREERTL,Waaree Renewable Technologies
756802,OSWALPUMPS,Oswal Pumps
757102,BELRISE,Belrise Industries
757645,ATHERENERG,Ather Energy
757772,HDBFS,HDB Financial Services
757850,CRIZAC,Crizac
757862,EBGNG,GNG Electronics
758002,SHANTIGOLD,Shanti Gold International
758115,JSLL,Jeena Sikho Lifecare
758551,RAYMONDREL,Raymond Realty
759093,SHRINGARMS,Shringar House of Mangalsutra
759244,JAINREC,Jain Resource Recycling
759251,EPACKPEB,EPack Prefab Technologies
759265,TATACAP,Tata Capital
759342,PACEDIGITK,Pace Digitek
759448,SHREEJISPG,Shreeji Shipping Global
759605,LENSKART,Lenskart Solutions
759728,EMMVEE,Emmvee Photovoltaic Power
759782,TMCV,Tata Motors
759806,GROWW,Groww
759867,CAPILLARY,Capillary Technologies
759880,TENNIND,Tenneco Clean Air
760,CGPOWER,CG Power & Industrial Solutions
760183,CLEANMAX,Clean Max Enviro Energy Solutions
760234,AEQUS,Aequs
760351,PARKHOSPS,Park Medi World
761153,SEDEMAC,SEDEMAC Mechatronics
761469,SHADOWFAX,Shadowfax Technologies
761581,CMPDI,Central Mine P & D Institute
762638,DECNGOLD,Deccan Gold Mines
762889,SEIL,Shanti Educational Initiatives
762954,TIMEX,Timex Group
763294,KISSHT,OnEMI Technology Solutions
7851,RAMCOSYS,Ramco Systems
7862,GVPIL,GE Power
7936,AVANTIFEED,Avanti Feeds
8054,KTKBANK,Karnataka Bank
8585,NLCINDIA,NLC India
8727,SHAILY,Shaily Engineering Plastics
8866,CHOICEIN,Choice International
8937,E2E,E2E Networks
8968,HARIOMPIPE,Hariom Pipe Industries
9087,PIXTRANS,Pix Transmissions
9356,MSTCLTD,MSTC
9362,CAMPUS,Campus Activewear
937,ELGIEQUIP,Elgi Equipments
9385,PNCINFRA,PNC Infratech
9428,SKIPPER,Skipper
9552,RVNL,Rail Vikas Nigam
9590,POLYCAB,Polycab
9592,VENUSPIPES,Venus Pipes & Tubes
9599,DELHIVERY,Delhivery
9668,HIKAL,Hikal
9756,EMUDHRA,eMudhra
981,EPL,EPL
9810,AETHER,Aether Industries
993,EVERESTIND,Everest Industries
