Timestamp,Mode,Side,Symbol,Qty,IntendedPrice,FillPrice,SlippageRupees,SlippageBps,OrderId,Status
2026-07-20 14:34:54,PAPER,BUY,AMBUJACEM,1063,439.95,439.95,0.0,0.0,PAPER_AMBUJACEM,FILLED
2026-07-20 14:34:55,PAPER,BUY,AMBUJACEM-Jul2026-440-CE,1200,9.55,9.55,0.0,0.0,PAPER_AMBUJACEM-Jul2026-440-CE,FILLED
2026-07-20 14:42:46,PAPER,SELL,BHEL,2000,416.8,416.8,-0.0,-0.0,PAPER_BHEL,FILLED
2026-07-20 14:42:47,PAPER,SELL,BHEL-Jul2026-417.5-CE,2625,8.7,8.7,-0.0,-0.0,PAPER_BHEL-Jul2026-417.5-CE,FILLED
2026-07-20 14:42:48,PAPER,BUY,BANKINDIA,1536,147.17,147.17,0.0,0.0,PAPER_BANKINDIA,FILLED
2026-07-20 14:42:49,PAPER,BUY,BANKINDIA-Jul2026-147.5-CE,5200,3.67,3.67,0.0,0.0,PAPER_BANKINDIA-Jul2026-147.5-CE,FILLED
2026-07-20 15:20:57,PAPER,SELL,AMBUJACEM,1063,440.25,440.25,-0.0,-0.0,PAPER_AMBUJACEM,FILLED
2026-07-20 15:20:58,PAPER,SELL,AMBUJACEM-Jul2026-440-CE,1200,7.75,7.75,-0.0,-0.0,PAPER_AMBUJACEM-Jul2026-440-CE,FILLED
2026-07-20 15:21:00,PAPER,BUY,OIL,550,453.3,453.3,0.0,0.0,PAPER_OIL,FILLED
2026-07-20 15:21:01,PAPER,BUY,OIL-Jul2026-455-CE,1400,6.45,6.45,0.0,0.0,PAPER_OIL-Jul2026-455-CE,FILLED
2026-07-20 15:42:00,PAPER,SELL,BANKINDIA,1536,146.95,146.95,-0.0,-0.0,PAPER_BANKINDIA,FILLED
2026-07-20 15:42:00,PAPER,SELL,OIL,550,453.55,453.55,-0.0,-0.0,PAPER_OIL,FILLED
2026-07-20 15:42:00,PAPER,SELL,BHARATFORG,377,2209.0,2209.0,-0.0,-0.0,PAPER_BHARATFORG,FILLED
