Symbol,SecurityID,LTP
RBLBANK,18391,367.5
DIACABS,18543,207.74
JLHL,18553,1436.1
RRKABEL,18566,2381.5
KIRLOSBROS,18581,2065.2
EMSLIMITED,18593,407.6
ZAGGLE,18608,205.65
ICICIPRULI,18652,489.8
HPL,18679,359
NUVAMA,18721,1807.6
SIGNATURE,18743,742.95
KSL,18889,878.1
PNBHOUSING,18908,1034.6
VBL,18921,504.8
CUMMINSIND,1901,5662.5
JSWINFRA,19020,323.45
MANAPPURAM,19061,321.65
TI,19196,455.1
KOTAKBANK,1922,391.1
LAURUSLABS,19234,1512.3
IMFA,19235,1257
BLISSGVS,19265,541.95
ARVIND,193,584
BAJAJCON,19531,599.3
BSE,19585,3886.4
PRICOLLTD,19631,604.1
TRENT,1964,3276.5
BLUEJET,19686,523.9
ADFFOODS,19761,310
HONASA,19813,461.9
DMART,19913,4374.7
LICHSGFIN,1997,559.35
ASKAUTOLTD,20152,452.45
WABAG,20188,1999.4
JWL,20224,266.7
OBEROIRLTY,20242,1779.9
TATATECH,20293,689.2
ASHAPURMIN,203,662.2
PRESTIGE,20302,1565
M&M,2031,3091
CGCL,20329,224.81
FLAIR,20372,261.4
COALINDIA,20374,439.65
NACLIND,20425,221.4
RAMCOCEM,2043,931.15
CHENNPETRO,2049,1161
DOMS,20551,2329.9
DOLLAR,20560,268.85
INOXINDIA,20607,1944.1
VTL,2073,637.55
SURAJEST,20822,202.65
HUDCO,20825,205.46
MOIL,20830,278.35
MUTHOOTMF,20831,215.05
MAHSEAMLES,2088,608.6
AZAD,20905,2046.8
KIRLOSENG,20936,2367.8
STOVEKRAFT,2107,776.9
STARCEMENT,21091,207.75
TEJASNET,21131,612.5
CDSL,21174,1306.2
AUBANK,21238,1037.3
JYOTICNC,21334,775.7
MFSL,2142,1589.5
BDL,2144,1366.2
SIS,21501,418.7
COCHINSHIP,21508,1500
ABCAPITAL,21614,392.25
APEX,21623,403.05
DIXON,21690,11933
CAPACITE,21749,256.99
ICICIGI,21770,1748.6
SBILIFE,21808,1758
TSFINV,2183,437.35
HFCL,21951,210.95
ACC,22,1327.9
MACPOWER,22347,1339
MAXHEALTH,22377,1141.1
EPACK,22463,230.5
BLSE,22566,233.22
BANDHANBNK,2263,203.9
SIGNPOST,22656,274.95
JSFB,22663,467.85
RPTECH,22670,747.25
HAL,2303,4399
SRM,23402,516.5
BHARTIHEXA,23489,1486.9
AIIL,23553,526.4
ASIANPAINT,236,2647.4
BALUFORGE,23607,461.9
JNKINDIA,23621,500.25
MUTHOOTFIN,23650,3005.9
AADHARHFC,23729,514.15
GODIGIT,23799,323.75
AWFIS,23864,298.4
NELCO,2388,922.35
SANDHAR,2397,707.75
PIIND,24184,2562
RELAXO,24225,410.15
ABDL,24308,670.45
RAILTEL,2431,308.65
BANSALWIRE,24386,341.55
EMCURE,24398,1834.5
ASHIANA,24403,394
AGIIL,24445,365.05
MIDHANI,2463,418.4
AKUMS,24715,623.75
CEIGALL,24742,390.9
ONGC,2475,234.85
FIRSTCRY,24814,223.25
MANCREDIT,24823,242.01
LTF,24948,306.2
ADANIENT,25,3024
PREMIERENE,25049,1050
EUREKAFORB,25162,457.8
TDPOWERSYS,25178,1221.6
PNGJL,25312,534.4
APLLTD,25328,818.05
PGEL,25358,532.1
PANAMAPET,25392,422
NORTHARC,25426,300.3
SHAKTIPUMP,25574,584.65
TRITURBINE,25584,694.5
INDOTHAI,25608,226
DIFFNKG,25672,420.95
APLAPOLLO,25780,1788.3
HYUNDAI,25844,1909.4
MINDACORP,25897,691.7
WAAREEENER,25907,2906.5
AFCONS,25977,311.05
PCBL,2649,324.95
PIDILITIND,2664,1601.5
PRAJIND,2705,352.55
ACMESOLAR,27061,377.45
SWIGGY,27066,239.65
KPEL,27079,340.7
SWANCORP,27095,314.25
BLACKBUCK,27144,534.4
PRECWIRE,2717,402.15
EIEL,27213,225.2
ROSSTECH,27353,966.7
AUROPHARMA,275,1580
GICRE,277,366.2
SAILIFE,27839,1249.8
MOBIKWIK,28046,200
RALLIS,2816,222.55
ANURAS,2829,1269.6
IGIL,28378,354.85
RAYMOND,2859,580.5
TRANSRAILL,28714,511.7
CEWATER,28764,339
RELIANCE,2885,1292.6
CARRARO,28879,537.5
MAYURUNIQ,28906,867
UNIMECH,28960,1172.35
SETL,29075,256.77
QUADFUTURE,29087,433.5
INDUSTOWER,29135,392.3
DENTA,29256,333.8
MOSCHIP,29459,207.1
PROTEAN,29472,593.1
KALYANKJIL,2955,387.9
HEXT,29666,515.5
NAZARA,2987,304.35
JUSTDIAL,29962,524.7
ATULAUTO,30023,482.65
JINDALSAW,3024,263.27
SBIN,3045,1030.1
SCI,3048,303.7
VEDL,3063,280.45
CMRGREEN,30893,255
RHIM,31163,364.15
MCX,31181,2840.1
TIINDIA,312,3045.9
SCHNEIDER,31234,1366.1
BORORENEW,3149,601.7
SIEMENS,3150,3599.3
BAJFINANCE,317,1003.65
LODHA,3220,952.9
ANGELONE,324,330.3
SRF,3273,2775.2
TEMBO,3275,582
SUBROS,3324,837
SUNDRMFAST,3345,930
SUNPHARMA,3351,1869.2
SUPREMEIND,3363,3166.1
SURYAROSNI,3375,259.02
TATACHEM,3405,720.35
BALRAMCHIN,341,547.3
TATAELXSI,3411,3855.5
CAMS,342,798
TATAPOWER,3426,385.75
TATACONSUM,3432,1077.5
BBOX,3435,948.2
TMPV,3456,353.65
THERMAX,3475,5172.5
TITAN,3506,4412.6
TORNTPHARM,3518,4664.9
TTKPRESTIG,3546,630.5
ADANIGREEN,3563,1489.4
NAM-INDIA,357,1164.9
UNIVCABLES,3607,1250.2
JUBLPHARMA,3637,961.4
SOLARA,3672,570.9
VIPIND,3703,308
BATAINDIA,371,683.1
VOLTAS,3718,1282.2
TATACOMM,3721,1964.4
VSTIND,3724,260.7
WALCHANNAG,3736,272.3
RITES,3761,206.15
WHEELS,3766,1768
WSTCSTPAPR,3799,536.4
BEL,383,411.3
VARROC,3857,633.45
SOMANYCERA,3880,541.75
CAPLIPOINT,3906,2618.6
