SecurityID,Symbol,CompanyName,Sector,Industry,BasicIndustry,MarketCap,PreviousClose,FNO
13538,TECHM,Tech Mahindra,IT,IT SERVICES,,,,
13587,ACE,Action Construction Equipment,,,,,,
13611,IRCTC,IRCTC,,,,,,
13620,ANANTRAJ,Anant Raj,REALTY,REAL ESTATE,,,,
1363,HINDALCO,Hindalco Industries,METAL,ALUMINIUM & COPPER,,,,
13631,SKYGOLD,Sky Gold And Diamonds,,,,,,
13643,ELECON,Elecon Engineering Company,,,,,,
13648,TALBROAUTO,Talbros Automotive Components,,,,,,
13750,FLUOROCHEM,Gujarat Fluorochemicals,CHEMICALS,FLUOROCHEMICALS,,,,
13751,NAUKRI,Info Edge,,,,,,
13776,GESHIP,Great Eastern Shipping Company,,,,,,
13786,TORNTPOWER,Torrent Power,,,,,,
13816,LTFOODS,LT Foods,,,,,,
13868,AARTIPHARM,Aarti Pharma Labs,,,,,,
13880,BANCOINDIA,Banco Products,,,,,,
1394,HINDUNILVR,Hindustan Unilever,FMCG,DIVERSIFIED FMCG,,,,
13966,HBLENGINE,HBL Engineering,,,,,,
13976,TANLA,Tanla Platforms,,,,,,
13982,JASH,Jash Engineering,,,,,,
14014,LUMAXTECH,Lumax Auto Technologies,,,,,,
14058,SANGHVIMOV,Sanghvi Movers,,,,,,
1406,HINDPETRO,Hindustan Petroleum,OIL & GAS,REFINING & MARKETING - PSU,,,,
14063,WANBURY,Wanbury,,,,,,
14154,UNOMINDA,UNO Minda,AUTO,AUTO ANCILLARIES,,,,
14203,HUBTOWN,Hubtown,,,,,,
1424,HINDZINC,Hindustan Zinc,METAL,ZINC & SILVER MINING,,,,
14255,REDINGTON,Redington,,,,,,
14296,VIYASH,Viyash Scientific,,,,,,
14299,PFC,Power Finance Corporation,FINANCIAL SERVICES,NBFC - PSU,,,,
14304,FSL,Firstsource Solutions,,,,,,
14309,INDIANB,Indian Bank,BANKING,PSU BANK,,,,
14329,SMSPHARMA,SMS Pharmaceuticals,,,,,,
14334,HSCL,Himadri Speciality Chemical,CHEMICALS,SPECIALTY CHEMICALS / CARBON MATERIALS,,,,
14361,APOLLOPIPE,Apollo Pipes,,,,,,
14385,POCL,Pondy Oxides & Chemical,,,,,,
14418,ASTRAL,Astral,,,,,,
14435,JKTYRE,JK Tyre & Industries,,,,,,
14479,DIVGIITTS,Divgi Torqtransfer Systems,,,,,,
14480,GOKULAGRO,Gokul Agro Resources,,,,,,
14501,BALAMINES,Balaji Amines,,,,,,
14552,PHOENIXLTD,Phoenix Mills,REALTY,REAL ESTATE - RETAIL/MALLS,,,,
14592,FORTIS,Fortis Healthcare,HEALTHCARE SERVICES,HOSPITALS,,,,
14732,DLF,DLF,REALTY,REAL ESTATE,,,,
14766,V2RETAIL,V2 Retail,,,,,,
14788,SPARC,Sun Pharma Advanced Research Co,,,,,,
14912,KPRMILL,KPR Mill,,,,,,
14937,CIEINDIA,CIE Automotive,,,,,,
14947,MOTILALOFS,Motilal Oswal Financial Services,,,,,,
14966,CSBBANK,CSB Bank,,,,,,
14977,POWERGRID,Power Grid Corporation of India,,,,,,
15058,AVALON,Avalon Technologies,,,,,,
15068,RELIGARE,Religare Enterprises,,,,,,
1508,ASTERDM,Aster DM Healthcare,HEALTHCARE SERVICES,HOSPITALS,,,,
15083,ADANIPORTS,Adani Ports & SEZ,,,,,,
1512,INDHOTEL,Indian Hotels Company,,,,,,
15141,COLPAL,Colgate Palmolive,FMCG,PERSONAL CARE,,,,
15174,TARIL,Transformers & Rectifiers,,,,,,
15179,ECLERX,eClerx Services,,,,,,
15180,KIRLPNU,Kirloskar Pneumatic Company,,,,,,
15184,BRIGADE,Brigade Enterprises,REALTY,REAL ESTATE,,,,
15355,RECLTD,REC,FINANCIAL SERVICES,NBFC - PSU,,,,
15362,VGUARD,V-Guard Industries,,,,,,
